item_index,comment,
1007180,this is best pad ever for any one if the have light to regular period they last for ever five hours. and know will ever tell your on your period. Buy them there is nothing bad about them for teens,
1007181,"Great absorbency and flexibility but so much that it doesn't stick down! The sticky strip is not wide enough that remains it in place and the wings don't either. It is such a shame, because the feel is great, yet I have to reduce comfort and safety because it comes unstick. Disappointing. If only they stayed!",
1007182,"I'm constantly changing these, changing my sheets, etc.!!! The design is bad. You end up with more flow at the top of the pad, nothing on the back. You end up w/ a 1/4 pad used up and have to change and waste it. You're throwing away almost a clean pad minus the front area.",
1007183,asasasasaswqwqwqwqwqwqwqwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,
1007184,"I am a soccer player and when I have my period its not comfortable to run in pads, and I don't wear tampons but these pads are so comfortable and I barley feel anything at all. They are super light, absorbent, and I definitely recommend these to all athletic women/girls! :)",
1007185,"As with the other reviewers, I have to spend quite a bit of time (hours in total) attempting to remove the adhesive that rips off when removing these pads - and most often, I can't get it all. Have used nothing but ALWAYS products but will be trying others because these have ruined my brand new panties.",
1007186,It's unbelievable how comfortable it is. It honestly doesn't even feel like you're wearing one at all!,
1007187,"Over the years, I've searched for pad that fits my body type but could not; then recently I started using Always Infinity Overnight, seriously I can't believe that am wearing a pad with this product. Now, I don't have to worry about leakages and embarrassing stains on my bedspread; plus it feels light so like feather and soft like a baby cushion.",
1007188,I just got my period and I found these in my local store so I tried them. They are really good. I don't even think anyone could tell I had my period! :),
1007189,"I recommend this product to girls because it's more comfortable and absorbs your blood flow. It's more convenient than a tampon. A tampon is ALOT to manage. U DONT FEEL like yourself in a tampon. Words cant describe how I feel about GIRLS buying this excellent, convenient and cheap money pad. U could pay LIKE 1.00 for this at Wal-Mart and I promise you you'll look at it and say holy moley this is a great pad.",
1007190,This was my very first pad and I loved it. It soaks up very quickly unlike another pad I have tried that made you feel like you were just sitting in the blood. I definitely recommend this product! This is the only pad I will ever use,
1007191,"its very thin and flexible. Its great, i just don't like that it's scented",
1007192,"As much as I really appreciate the odor control, the lack of absorbency was rather disappointing. This particular pad seems to leave you feeling icky and slimy. The original Maxi pads, however, are the best Always has ever made. I guess you cannot improve on perfection! Well, almost perfect by my opinion! : )",
1007193,"I have been using the Always brand ever since I first started my period. I tried Kotex once because they had nothing else in the store, and there literally is no comparison. So when it came time to buy some more, I looked to Always. When I saw the Radiant pads, I thought I'd try them out. They were a tiny bit more, but I didn't mind. These are definitely the best pads I've ever used! I was genuinely surprised at their absorbency considering how thin they are. You can throw one in your purse and not have it take up any space. I barely know it's there and it gives me the freedom to move around the way I want without worry. Definitely worth the buy!",
1007194,I can 'always' depend on no leak protection with this product. But lately I cannot find it in any of my local stores. I used to be able find it at CVS and Fred's.,
1007195,I just got my period at   I needed a pad. I'm 5 - feet tall and these workout for my size.,
1007196,"Always has always been my favourite. They are thin and once they adapt to your body temp they are pretty flexible and mold to you. The length is good but the width could be a bit smaller but I am a fairly small person. The absorbancy is great is doesn't sit on the top of the pad and doesn't leak through. Does not feel like I am wearing a diaper. - For me however they give me a pretty bad reaction, gives me an embarrassing itch. so I only use them for a couple hours to give my body a break from tampons. PLEASE look into why it would give a reaction and fix. Then I will give it 5 stars.",
1007197,"I have recurring bacterial vaginosis, which means I deal with unpleasant feminine odor often. It's an embarrassing and uncomfortable problem. These pantiliners make life a lot easier for me. They absorb odor reliably so I know I'm protected for hours at a time. They absorb moisture well so I stay comfortable. I don't have to wonder if anyone can smell anything or worry that I'll need to change it frequently.",
1007198,"I am a plus sized woman with heavy flow. This is the only pad that meets my needs. I am in tears now that I can no longer find it in stores. Back will be the days of soiling my work uniform and struggling to tie a jacket around my waist until I can get to my car for my back up pair of pants and underwear. And no I'm not being dramatic. This has happened to me 4 times at work. My work uniform consists of khaki Dockers style pants so you can imagine how embarrassing could be. It's very hard to feel confident and secure knowing that your pad could be leaking. And to make matters worse, I am a 911 dispatcher who works very long hours and frequently can't get up to go to the bathroom for extended periods of time. My only gripe with this pad is the adhesive that I often have difficulty removing from my underwear. Other than that, this product has been a godsend and I urge you to revamp and return it to the market as soon as possible",
1007199,"I don't use pads anymore, but when I did these were the only ones small enough. My only complaint would have been the lack of different absorbencies. Just because someone is petite doesn't neccessarily mean they have a light flow!",
1007200,"My partner picked these up for me, had I noticed they were actually scented I wouldn't have bothered even trying them, but I was desperate! NEVER again!!! - I didn't even last the whole day before having to rip these away from my sensitive area - why would anyone think it's a good idea to put scented products in contact with our most sensitive body parts?? Will NOT be buying again and will definitely not be recommending any of this range to anyone... not even my worst enemy!!",
1007201,"I have tried several brands of pads, and the Always Long Super Maxi (no wings) are the only pads I can trust. They are super-absorbent and comfortable.",
1007202,I JUST started using these when Wal-Mart decides not to sell them anymore. I love these pads so much..I'm not plus size but I just like the wider style pad so these were great for me. The adhesive? Not a fan..thats my only gripe. Please say you are making a name change and are bringing them back to stores!!,
1007203,"These are great. However, I do not like how they are tapered at the front/ top of the pad.I always feel like I am going to leak when they are like that..but other than that they are very comfortable and have no problems with these!",
1007204,"Tried this out because I couldn't find my usual pad brand, and these are awesome! The absorbency is great and it doesn't feel heavy or wet after a long time. The scent is also very nice and eliminates odors. Super comfortable and never had any leakage with these.",
1007205,"Since using this product, I have noticed a considerable difference in absorbancy and odor control compared to other Always products, Kotex and pharmacy brand (like CVS). They are a great length and do not shift. I do wish they came individually wrapped to be discrete but that's an easy fix by keeping them in my small cosmetic bag in my purse.",
1007206,These are great if you are still in school. Whenever I'm switching from a pad to a tampon blood is everywhere so I clean up with these and I'm ready. I love how the scent covers up the blood stench. The wipes smell kina like apples. The only bad thing is that it doesn't really absorb the blood,
1007207,"I have extremely heavy periods (lucky me every other week). I've tried them all. Tilted uterus so tampons/Insteads aren't an option. -  - I like the length and the feel of their outter cover and so far no reaction to their adhesive (yeah, a lucky allergy of mine). -  - Dislikes: not that absorbing (changing them hourly or a massive mess), too wide - by about 1/2 - 3/4 an inch easily for me, almost impossible to find unless you want the lemon cleaner scented ones (yeah NO - wrong on so many levels). -  - In general I just expected them to last longer than an hour - being for Extra heavy/ overnight/ maxi pads and I believe the most absorbent ones Always makes. I know no product will meet my needs for overnight but, to use industrial size box pack per period gets a bit tiresome.",
1007208,I use these on medium days. Very soft and comfortable!,
1007209,"With a heart condition that requires blood thinning medication, it makes for extremely heavy periods. I had resorted to buy both regular pads for lighter days and adult bladder protection undergarments for the worst days. Now I only have to have the Always for the entire deal. Less money spent in the store and I don't have to spend time walking around with an adult diaper on.",
1007210,This pad is great!!! I have regular leakage and need to wear a pad every day but go with out because i cant find a pad im comfortable in. I was skeptic about trying this pad but when i went to purchase my monthly stock my usual brand was sold out. So was this brand (i had to get sented ones vs. unsented). so i bought the Always Infinity scented regular flow. Oh man its so comfy! It doesnt bunch like my previous pad. And the scented helps with odorbock. The price is a bit more but for the comfort im willing to pay a couple extra bucks. Very good product. Where the heck was this pad during my high school years?!,
1007211,"I don't know if Always discontinued this pad, but like the other reviewers I can't find it anywhere anymore; I had finally found a pad that saved me money on having to buy new sheets, panties, and clothes due to unexpected spills, that I would pay any amount of money to buy it, and now they are no where to be found. If Always discontinued this product it surely is a huge mistake on their part. I have fibroids so I have always had heavy periods, even when I was thin, and this pad is better than anything I have ever tried, and now I am back to spending a load of money on new panties, sheets, and clothes again. Please bring back the 14+ pads, I beg you.",
1007212,"I haven't been able to find these in the last 6 months or more. I agree there is too much adhesive on the wings, but that should be easy to fix. Why are they no longer available?",
1007213,I love this product. Been wearing it daily for years. I am very disappointed and do not see why Always stopped making it, especially after reading the other reviews noting how much women love this product. -  - Always - please bring back this product!
1007214,I have been using Always ultra thins for over 15 years. I love love this pad but I really wish that the regular ultra thins that are unscented had this top cover. Not sure what happened with the unscented but they give me irritation now every time I use them. Please consider putting this cover on all of the ultra thins.,
1007215,"I love them, I actually look forward to my period so I can abuse them",
1007216,"As I am rather stout, I need theextralong - alright, However, you had one that was - extra long + 14 that were a very good - length for me. Can't seem to find them - anywhere. Why did you stop making - that kind. I am sure I am not the only - one that needs this extra long + 14 size. - Thanks for helping me out, if you can - tell me why or where they might be - found. Thanks Pauline.",
1007217,"I am a middle age,heavy set woman and have essure as a birth control method. My menstrual flow became heavier and I was having to wear two of the always long pads at one time for complete protection. This product has given me complete protection from front to back. For a woman my size it is very comfortable, flexible, and keep me dry. Thanks.",
1007218,"I love this product. As a teenager, at first I started out by picking the prettiest box. I have tried many pad but they all feel like I'm wearing a diaper. NOT this pad, it is by far my favorite pad ever! I barely notice the pad is even there! Incredible product and I recommend it to women of all ages.",
1007219,Great protection and very confy! I love them! - I do not have to worry about my mattress. Before I had to clean it but these towels are PERFECT the ideal size and shape!,
1007220,My daughter just turned twelve and started her cycle. These pads really work great for her. she has tried others and by far this is the best.,
1007221,"I don't recommend this pad for those who have heavy flow, but other than that this is a great pad. Can't feel it in your undies!",
1007222,"I really liked how comfortable these pads were, but that's about the only good thing. They don't absorb well at all. Even the overnight ones leaked. Then right after using a new one I had another leak. Not great. Regular always all the way.",
1007223,I LOVE THESE PADS!! - NO LEAKS AND VERY COMFORTABLE!,
1007224,"These pads are focused far too much on the back wings at the expense of protection in the front. Knock-off versions of these pads are much better and allow you to adjust placement forward so if you sleep on your side and front, like I do, you don't have an overnight overflow that requires you to strip the bed first thing in the morning. In 30 years this is the worst malfunction ever. If I could return for a refund, I would, but I will never buy this brand of pad again.",
1007225,"I use these pads every time I am on my period, they are very absorbent and comfortable, sometimes I don't even realize I'm on my period. I would definitely recommend these pads.",
1007226,I was not aware they came without wings. LOVE the pad hate the wings! They leave you feeling dry all the time. Now wheres the tampons?,
1007227,"Easy to use, nice and discreet, and really lovely, light scent. Ideal for very sensitive skin. I'm allergic to everything and have no issues with these, at all. They are my must-always carry, go to item.",
1007228,IK I RATED EVERYTHING but I never tried these. I just wanted to say I bought the U kotex pads and they suck! They cam with wings and they're soooooooooooooooooo uncomfy! It makes me so >:(,
1007229,"I have been told to try out this product and that these pads are very comfortable and easy to deal with at schools. They do have wings,but if you open the pad at home there's a piece of tape you can tape back on so its not as loud to open at school.:-) this pad holds a lot of blood and is very flexible I recommend this pad  0 percent. :-) :-) :-). :-) :-) :-) -",
1007230,"When I first brought this product, I wasn't sure how good it was going to be or if it was even the right product for me. But, after one use I felt this was the perfect product for my needs, and the fresh scent just makes it even better! Now I have no stains on my panties or anywhere and no odor. The extra layers of thickness of the pad makes it have great absorbency unlike other types. I definitely love this product and will continue to buy.",
1007231,"I love the fact that they finally made something close to what I need. It is perfect during the night, other than the fact I have to put a smaller pad in the front and the back. I think they shortened the length of the pad which sucks! I loved this pads, and I still like them more than most but they appear to be cheaper made. They give me a rash if I wear them for to long also. I enjoy having a better nights sleep and not having to worry about the hassle and mess or changing my pad every few hours, but I still worry. It wasn't a problem at first, but they changed them!",
1007232,"I've 5'1' and slender. These are by far the VERY BEST pads. The other pads are way too long and thick. These are the other hand are perfect! They don't hold quite as much as some of the bigger pads, so I just change them a little more frequently. But again, BY FAR the best pads if you are slender.",
1007233,"I love that these pads offer length without the bulk! I have a heavy flow, going through menopause as well. These pads protect my clothing, and also fits me well, which it's usually hard to find a good fit when your a full size woman.",
1007234,"The adhesive is too sticky, whenever I go to remove the pad, the adhesive part sticks to much to my underwear causing it to rip part of the pad whenever I take it off. I have to pick the stuck adhesive part of my underwear using hot water to get it off as I couldn't get it off without it & also the inside of the pad that came out on my floor bloodstains and all I have to clean up. Its disgusting & too much of a hassle to buy again. I am throwing these away & buying the competitors, what a waste of money!!",
1007235,"I bought this pad while at Wal-mart. I thought, 'I am very active and am interested in changing pads just to see if this is better than their always maxi with flex wings.' I cannot believe what happened. My flow went up and out the top. I have NEVER had this happen before. So glad I was at home and not out when this embarrassment happened. I will never by this product again.",
1007236,"It's so comfortable and absorbent, I can't tell it's there. I have a heavy flow, but with this pad it doesn't really matter because it soaks it up so well. They cost more than other pads, but it is worth it.",
1007237,"When these first came out I was ready to be wowed....I left mine in the gym bathroom for others. Their uncomfortable, not flexible, doesn't fit to my body... - Just say no. -  - I'll stick w/ the ultra thins",
1007238,"There is nothing better out there. Comfort, absorbency, flexibility all in one.",
1031929,"I am amazed that these diapers actually last up to 12 hours! Our little boy sometimes sleeps  -12 hours at night, and I don't have to worry about leaks or diaper rash! These diapers are amazing!",
1031930,I love pampers they have been with me since day 1. They keep everything in.,
1031931,I only buy this because there is nothing else out there.,
1031932,This item is a little pricey however they are great and keep babies dry especially at night.,
1031933,good diapers they are very soft and don't break out baby's skin. I like the stripe that turns blue when the baby is wet. I also like that they don't leak like other diapers i have tried.,
1031934,"We used size N and 1 Swaddlers for our kiddo, and were completely happy with the fit and absorbency. However, when we jumped up to the size 2 we have not been as impressed. He's had more 'blow out' dirty diapers, where things leaked around the edges. I acknowledge this is probably more because of the shape/size of our kid and is NOT because of a design flaw in the diapers themselves. Still, it is something we've had to deal with.",
1031935,These diapers are the best! I have used them since my daughter was born and they are the most absorbent around. She can wear them overnight without any leaks. We tried other brands and they just didn't work as well at the pampers. We will stick with this brand for a long time!,
1031936,the best all day diapers for our growing 1 year old. keeps him dry all day long.,
1031937,"First, these aren't my favorite wipes. I truly (TRULY) prefer wipes that have texture because texture really grabs onto the mess you are wiping off your baby. These wipes are smooth and I have found that instead of the usual 2 wipes with a patterned wipe that I use 4 - 5 wipes. Since this is a preference thing, I still gave it 4 stars. - My baby had a touch of diaper rash and used these and they were great. They didn't irritate things and he healed up in a few days. The smell is very mild. - The only con is that they leave a slightly slimey reside on your hands and I presume your baby. I don't know if that is due to some time of skin conditioner that is added. - Overall, definitely use if your baby is sensitive or has a rash.",
1031938,"We used cloth diapers and cloth wipes, and it worked --for a while. It was too much work washing and folding diapers and wipes every other day, and wondering if my baby was getting clean enough. We switched to Pampers diapers and wipes, and have been impressed with how gentle the wipes are.",
1031939,"These diapers (overall) are great. They are soft, but gave my daughter a very bad rash. I do not feel this is the diaper's fault, as they never gave my son a rash. They also don't keep her as dry as I feel they should. She is only   weeks old and we switched to Pampers Baby Dry and those seem to be working much better for her. Great for daytime use though.",
1031940,Wow! diapers sure have changed since I used them for my girls. I now am using them on my grandson. I love the mesh lining. It keeps so much from coming back on his little bottom!,
1031941,These are the best diapers for babies with sensitive skin. Love these!!!!,
1031942,Best overnight diapers for a growing 1 year old boy. Keeps him dry at night and no more leaks.,
1031943,Our Princess Stinky Bottom's little tushie is super sensitive. When we found out we were pregnant we decided to us Pampers' Sensitive no matter what...we are sure glad we did!,
1031944,"Soft, comfy and love the indicator best diaper for us",
1031945,"I was determined to use cloth diapers, but after multiple leaks and diaper rashes I was done. We switched to Pampers Swaddlers, and are so happy. Our baby is dry, diaper rash free, and happy. He sleeps better at night, and so do we--knowing that he is dry and comfortable.",
1031946,"I will really recommend this product, to all of my friends, having twins, and buying diaper for two, can get really expensive, but with pampers, they are always very dry, and I don't have to keep changing their diapers as often, so I really recommend this product.",
1031947,"I have fund that Pampers brand keep my baby's butt dryer then other diapers. This is especially good at bedtime. My daughter is a sensitive sleeper and Pampers help keep her dry and sleeping at time. I would definitely recommend Pampers to anyone with a baby, toddler or bed wetter.",
1031948,They're great for toddlers. The price though is a bit outrageous for the few diapers that come in a box.,
1031949,"Great for size N up to 2. When they start to crawl the diaper moves around to much and we had leakage. Also at night when my son got to stage 3, there wasn't enough absorbency to make it through the night.",
1031950,Pamper's Cruiser's fit my daughter very well with no bunching. The diapers had a cute design and did not have a strange smell about them when wet. My daughter seems comfortable and stays dry. Pampers Cruisers are a brand I will continue to use until my daughter is no longer in diapers.,
1031951,"My older son before starting potty training would leak through his diapers over night, there was just to much urine for a regular diaper to contain. I used these until he was potty trained and never had issues again.",
1031952,Pampers Swaddlers are hands down the best diaper on the market. The wetness indicator is a great tool so there is no guessing as to whether the diaper needs to be changed. The fit is great and seems to have more room than the other brands. This is the brand used in most hospitals nationwide and that alone should speak for itself.,
1031953,I have tried other products that were given as gifts. They do not compare to the quality of pampers. I would recommend this product to any parent,
1031954,"For little one this products works well, but if for 2 years toddler is not so good. I rather use the baby dry diaper.",
1031955,Don't depend on them for naps. Only use for minute increments.,
1031956,I love the swaddlers line. I would definitely recommend.,
1031957,"I frankly don't have lots of experience with other brands, but if it ain't broke, then don't fix it. The hospital started us on Pampers and we've been with them since. No problems or complaints with them.",
1031958,"Currently use these for my 1,5 year old. Great fit, don't remember last time I had a leak even when sleeping long nights with big loaded diapers in the morning. He could move around and be comfortable in these. I feel these don't smell as much as some diapers even when soiled. This is the diapers I used for the longest period of time for my kids, great value since they are cheaper than some of the other pampers.",
1031959,The first diapers ever used on my little guy and I will never change they are perfect!!,
1031960,"My baby has worn these for nearly a year and though I've tried other brands, these consistently keep him dry all night. I love the wetness indicator, something that wasn't around with my first child. I subscribe to these on Amazon and have them delivered to my doorstep every month. The price is comparable with other big name brands. - *Newborn blowouts do leak, especially if breastfed, but that seemed true of every brand I tried. My baby is 11 months and hasn't had a true blowout in nearly 6 months. - I will continue with the Pampers line until my baby is potty trained.",
1031961,"Pampers diapers really worked for our newborn. The fit was perfect. We tried huggies, but they leaked out the side. Pampers are the right diapers for us!",
1031962,For my newborn these were the best! Our favorite by far.,
1031963,I love the wetness indicator. It takes the guess work out of diaper changing.,
1031964,"They stay moist and are easy to use. because of the moisture, it wipes better than other brands.",
1031965,"Keep him dry, no leakage, no skin irritation in 4 months. The fit is great, not too bulky! With coupons better cost than off brands. Love them",
1031966,Used these at the beach and in pools. Never had a leaking problem. My kids have always seemed comfortable in them even when wet.,
1031967,I like crusiers but I think swaddlers and baby dry are more absorbant.,
1031968,These are great!! They keep everything inside and don't have to be changed as often as other swimmers.,
1031969,"My twins were born premature and the preemie sized diaper fit them perfectly and we still use them today, except they are in size 4 cruisers now! I've never been a big fan of baby dry, but the swaddlers and cruisers are so absorbent I've never felt like we needed to use baby dry.",
1031970,"I always use pampers swaddlers for my babies when they're under 6 months old - and now (with new sizes) I can use them for at least a year! They keep baby dry as to avoid diaper rash, and the indicator is especially nice.",
1031971,"These are hands down the best diaper all around. My only complaint is the cost is a little high. But they are great for sensitive skin. They don't stick to the skin like some diapers can. The aesthetics are lovely too... nice scent, peaceful pastel colors and nature designs.",
1031972,This is a wonderful diaper! My son can spend all night in these diapers.,
1031973,I have always chose Pampers. My kids like the characters and I'm happy with the way they fit.,
1031974,When potty training my 2 year old I used these to make it easier to pull up and down when you bring them in the bathroom frequently. I actually would prefer pull ups not to have 'fun' characters since my goal is for the child not to want to wear the diaper and put on underwear instead. It is a great product and I am sure it works great for people that don't want accidents. I only used these for a short period of time and decided that he would learn from accidents and let him only have underwear instead.,
1031975,"I love swaddlers, they keep your baby dry. I like the wetness indicator. I'm glad they've increased the size!",
